Word,Count
+,16
*,10
\"\\,7
the,4
it,4
,3
if,3
to,3
for,3
TODO:,3
request,3
be,2
this,2
ChatColor.YELLOW,2
pending,2
is,2
@return,2
there,2
@param,2
player,2
config,2
up,2
ChatColor.LIGHT_PURPLE,2
warp,2
let,1
true,1
sending,1
made,1
\"\------------------"\\,1
playerPVP,1
made..,1
jar,1
(see,1
messages,1
\"\Warps"\\,1
page,1
has,1
method,1
myself,1
because,1
commands,1
that,1
TEST,1
player.sendMessage(ChatColor.YELLOW,1
are,1
teleport,1
messes,1
coudln't,1
we'll,1
every,1
were,1
\location,"\MyConfig"\,"\SaveCustomConfig"\);\,1
[warpname],1
never,1
user,1
my,1
player.sendMessage(ChatColor.AQUA,1
need,1
run,1
Convenience,1
\Debug.print("\Saving\,1
out,1
extra,1
-,1
message,1
ChatColor.DARK_PURPLE,1
somehow,1
any,1
of,1
had,1
tick,1
set|add,1
already,1
timed,1
damage,1
ChatColor.GREEN,1
load,1
or,1
needs,1
loaded,1
currentPage,1
no,1
25),1
location,1
hour,1
defaults,1
line,1
teleporting,1
above,1
will,1
I'll,1
Look,1
sLoc,1
public,1
before,1
false,1
clean,1
sent,1
in,1
testing,1
next,1
misc,1
do,1
you,1
\requests,\,1
(around),1
Message,1
so,1
\"\-----------------"\);\,1
a,1
gosh,1
time,1
world,1
admin,1
pages,1
itemArray[ii-listSize]);,1
one,1
