Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite,18,1290,1047,640,128,214,1,29,135,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\commands,3,209,172,106,28,34,0,3,17,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\listeners,2,93,78,47,7,13,0,2,2,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\managers,3,264,218,137,26,45,0,1,8,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\permissions,2,93,68,30,8,21,0,4,4,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util,6,381,313,193,35,64,0,4,19,0,0
